22521;8;133336;333.00
22522;7;167295;455.00
24335;7;133732;255.00
33397;7;136335;255.00
33592;1;132799;217.00
34832;1;171267;217.00
34839;1;133212;555.00
34848;1;116613;514.00
34849;1;167295;514.00
34855;1;151651;514.00
34874;1;123533;514.00
44896;2;172533;217.00
46237;2;167295;206.00
46238;5;151651;305.00
46239;2;131376;433.00
48171;1;151651;206.00
48172;2;171931;233.00
48174;2;133733;233.00
48180;3;123533;206.00
48183;3;132313;206.00
48184;3;167133;204.00
48185;4;136335;214.00
48186;5;171177;207.00
48187;3;137333;204.00
48190;5;133213;433.00
48242;8;172511;306.00
48246;10;131165;408.00
48299;8;133733;233.00
54802;1;171235;514.00
54803;1;132993;514.00
54806;1;172511;514.00
54818;2;136335;516.00
54824;2;131653;233.00
54835;2;116613;233.00
54836;2;167295;233.00
54845;1;171177;514.00
54858;1;133732;555.00
54859;1;132613;555.00
54860;1;137633;555.00
54864;1;125153;514.00
54868;1;165316;555.00
54869;1;163731;555.00
54870;1;129219;555.00
55091;8;133321;214.00
55092;7;133212;255.00
61445;1;151651;255.00
76125;1;123533;255.00
1424B;2;117156;204.00
1424C;2;171931;205.00
2540L;8;169696;209.00
2540M;6;136335;312.00
2547W;1;166227;512.00
2547X;1;131653;512.00
254AU;8;133733;409.00
4225G;1;133733;205.00
4225H;1;133213;205.00
4225I;1;131376;205.00
4225J;2;171133;205.00
4225K;1;116613;206.00
4225L;1;133733;333.00
4225M;1;133931;333.00
4225N;1;171931;333.00
4225O;2;171133;355.00
4225P;1;131376;333.00
4225R;2;139213;209.00
4225S;2;136335;201.00
4226F;1;139372;205.00
4226G;1;139372;355.00
4226J;4;133212;201.00
4452A;1;129219;301.00
4452B;1;127113;301.00
4455B;7;151651;455.00
4456C;7;117156;317.00
4456U;8;123533;455.00
4456W;9;137333;466.00
4458D;8;132613;255.00
4480C;2;132313;255.00
4480D;2;171235;255.00
4810A;1;132613;203.00
4810B;1;137633;203.00
4810C;1;163731;216.00
4810D;1;129219;216.00
4810E;1;127113;216.00
4810F;1;137633;255.00
4810G;1;167133;303.00
4810H;1;167133;317.00
4810I;1;129219;407.00
4810J;1;132799;466.00
4810K;1;171267;466.00
4810L;1;127113;604.00
4810M;2;167295;403.00
4810N;2;136335;405.00
4810O;2;127113;407.00
4810P;1;165316;216.00
4810Q;1;137333;217.00
4810R;2;117156;303.00
4810S;2;133733;304.00
4810T;1;133732;203.00
4810X;2;167133;407.00
4811A;2;172533;466.00
4812A;3;132799;407.00
4812B;3;136335;455.00
4812C;6;131165;318.00
481AA;2;117156;407.00
481AB;2;137333;407.00
481AC;2;165316;464.00
481AD;2;133931;467.00
481AE;2;137333;704.00
4820J;6;171133;433.00
4820K;7;137333;317.00
4820U;5;163731;464.00
4820V;4;165316;255.00
4821A;7;137633;406.00
4821B;10;129219;464.00
4821C;8;137333;303.00
4821D;8;132799;317.00
4821E;10;133212;455.00
4821H;2;171177;404.00
4821K;4;131165;217.00
4822B;4;136552;214.00
4822S;7;133336;217.00
4822T;8;133931;217.00
4822Z;8;137633;460.00
4823C;7;171931;217.00
482D1;4;133733;503.00
482D2;5;171133;506.00
482D3;6;167133;606.00
482D4;4;131376;503.00
482D5;4;133213;503.00
482D6;5;139372;506.00
482D7;6;132313;514.00
482D8;6;117156;606.00
4831A;1;133212;314.00
4831B;2;139372;433.00
4831C;1;133732;314.00
4831D;2;166227;433.00
4831I;7;131376;233.00
4832A;2;166227;355.00
4832B;3;151651;403.00
4832C;5;131653;355.00
4832D;2;131653;433.00
4832E;3;125153;404.00
4833A;3;132799;204.00
4833B;3;132799;303.00
4833C;3;123533;403.00
4833C;6;132799;217.00
4833D;3;131165;466.00
4833E;5;131376;233.00
4833F;5;123533;305.00
4833G;8;133212;214.00
4833I;6;171267;217.00
4833X;6;171267;303.00
4833Y;7;171177;306.00
4833Z;7;171267;204.00
4834A;3;165316;203.00
4834B;4;133213;233.00
4834C;5;171133;233.00
4834D;6;131165;204.00
4834E;7;132613;405.00
4834X;4;163731;255.00
4835A;4;171235;403.00
4835B;5;131165;217.00
4835C;8;117156;464.00
4835D;4;133213;304.00
4835E;6;139213;307.00
4835M;4;172533;407.00
4835Y;5;132993;403.00
4835Z;4;133336;204.00
4836A;6;133321;307.00
483AA;5;172533;303.00
483AB;4;131165;303.00
483AC;4;131376;304.00
483AD;5;133212;405.00
483BA;3;172533;204.00
483BB;3;172533;217.00
483BC;3;132313;403.00
483BD;3;133732;405.00
483YY;4;127113;464.00
483YZ;3;133336;466.00
4842A;2;132993;206.00
4842B;1;131653;205.00
4842C;2;133732;455.00
4842D;3;166227;233.00
4842E;5;132313;305.00
4843A;3;132613;214.00
4843C;5;133336;303.00
4843D;6;166227;304.00
4843E;6;133323;306.00
4843F;6;133333;306.00
4844A;2;127113;203.00
4844B;3;171235;305.00
4844C;4;116613;233.00
4844D;3;133931;408.00
4844E;4;137633;214.00
4844F;5;133931;303.00
4844G;6;129219;316.00
4844H;8;133213;333.00
4844Y;3;171931;408.00
4844Z;2;133931;217.00
4845A;5;132993;305.00
4845B;6;169696;306.00
4845C;7;171931;303.00
4845D;6;131653;304.00
4845E;7;116613;304.00
4845F;8;167295;304.00
4845G;7;127113;316.00
4845Z;6;172511;403.00
4846A;1;163731;203.00
4846B;2;117156;216.00
4846C;3;166227;205.00
4846D;4;139372;233.00
4846E;4;125153;207.00
4846G;3;136552;307.00
4846H;6;139372;304.00
4846I;7;133213;233.00
4846J;8;139372;233.00
4846K;8;166227;233.00
484AA;2;116613;355.00
484AB;2;116613;433.00
484BA;1;172511;206.00
484BB;3;167133;464.00
484CA;1;129219;203.00
484CB;1;133931;204.00
484CC;2;132613;455.00
484CD;1;137633;316.00
484CE;1;171267;317.00
484CF;1;172533;317.00
484CG;1;171931;467.00
484DA;2;167133;216.00
484DB;2;132613;314.00
484DC;2;133323;404.00
484DD;2;133333;404.00
484DE;2;169696;404.00
484EA;3;133732;214.00
484EB;3;133336;217.00
484EC;3;165316;406.00
484ED;3;163731;406.00
484EE;3;133336;408.00
484FA;4;133323;207.00
484FB;4;133333;207.00
484FC;4;165316;316.00
484FD;5;171133;304.00
484FE;5;163731;316.00
484GA;7;171133;233.00
48KWY;1;171235;206.00
48WXY;4;131653;233.00
48YXYZ;7;125153;306.00
48YYY;4;171267;407.00
